baseline,stage1,stage2,stage3,stage4,recovery,stage5
64.4,78.1,61.6,60.5,61.4,52.3,68.9
62.1,73.7,68.3,60.5,84.4,44.1,44.2
69.3,62.0,57.2,60.5,40.8,51.9,49.4
64.4,67.3,83.0,60.5,58.5,63.0,39.1
60.2,62.8,80.3,60.5,38.8,52.7,58.4
78.1,39.2,75.0,60.5,64.0,49.6,51.4
61.0,53.6,80.5,60.5,76.4,47.5,36.2
39.5,64.7,54.3,60.5,40.1,48.8,52.3
72.1,41.4,48.4,60.5,59.0,59.9,47.8
65.4,66.7,85.8,60.5,55.3,58.2,55.4
75.4,74.1,40.9,60.5,44.4,52.4,57.2
54.5,39.0,71.2,60.5,61.0,52.4,60.3
69.0,24.5,70.6,60.5,79.7,54.9,40.7
64.6,82.2,60.2,60.5,65.3,49.3,69.5
93.7,92.1,39.0,60.5,62.0,54.6,59.3
80.7,71.7,56.1,60.5,37.9,43.7,47.3
62.0,63.7,56.1,60.5,95.8,49.2,43.5
65.6,51.4,64.1,60.5,83.6,54.4,41.9
106.0,97.8,68.0,60.5,58.6,39.6,49.7
68.3,55.9,62.5,60.5,73.2,41.4,59.1
71.9,91.5,68.3,60.5,49.4,39.8,48.5
50.1,66.5,46.1,60.5,62.2,48.9,54.7
72.6,57.2,75.3,60.5,75.7,58.8,27.9
53.2,79.2,67.1,60.5,66.3,53.0,48.9
65.6,61.6,50.8,60.1,70.1,51.1,38.2
57.7,74.3,55.8,90.8,45.0,44.7,30.8
63.5,61.1,58.1,68.6,51.9,42.0,41.1
63.1,65.7,45.4,70.1,80.7,57.9,36.8
