baseline,stage1,stage2,stage3,stage4,recovery,stage5
29969.0,28256.0,26835.0,24789.0,20723.0,18637.0,16629.0
30117.0,28382.0,26949.0,24889.0,20810.0,18724.0,16695.0
30257.0,28500.0,27060.0,24990.0,20896.0,18811.0,16761.0
30398.0,28622.0,27169.0,25095.0,20987.0,18898.0,16827.0
30538.0,28743.0,27276.0,25186.0,21060.0,18985.0,16893.0
30672.0,28869.0,27380.0,25283.0,21146.0,19072.0,16958.0
30802.0,28999.0,27485.0,25379.0,21238.0,19159.0,17024.0
30925.0,29131.0,27589.0,25474.0,21323.0,19247.0,17090.0
31042.0,29247.0,27693.0,25567.0,21409.0,19333.0,17156.0
31158.0,29367.0,27795.0,25661.0,21494.0,19420.0,17221.0
31286.0,29494.0,27897.0,25753.0,21580.0,19507.0,17286.0
31416.0,29608.0,28004.0,25846.0,21665.0,19593.0,17351.0
31553.0,29728.0,28101.0,25938.0,21751.0,19680.0,17417.0
31679.0,29846.0,28210.0,26032.0,21837.0,19767.0,17483.0
31806.0,29967.0,28310.0,26127.0,21922.0,19854.0,17548.0
31938.0,30092.0,28418.0,26223.0,22008.0,19941.0,17613.0
32070.0,30218.0,28532.0,26319.0,22100.0,20028.0,17678.0
32200.0,30344.0,28644.0,26416.0,22180.0,20115.0,17743.0
32315.0,30467.0,28754.0,26509.0,22266.0,20203.0,17809.0
32434.0,30586.0,28868.0,26619.0,22345.0,20291.0,17875.0
32557.0,30703.0,28984.0,26724.0,22436.0,20379.0,17940.0
32683.0,30820.0,29091.0,26828.0,22521.0,20467.0,18005.0
32805.0,30936.0,29210.0,26932.0,22606.0,20556.0,18070.0
32926.0,31052.0,29316.0,27036.0,22691.0,20645.0,18136.0
33050.0,31170.0,29427.0,27141.0,22775.0,20735.0,18202.0
33179.0,31287.0,29545.0,27244.0,22860.0,20824.0,18267.0
33308.0,31404.0,29655.0,27346.0,22944.0,20914.0,18332.0
33432.0,31518.0,29765.0,27441.0,23029.0,21005.0,18397.0
33557.0,31634.0,29878.0,27549.0,23114.0,21095.0,18463.0
33684.0,31743.0,29992.0,27655.0,23199.0,21185.0,18528.0
