baseline,recovery,stage1,stage2,stage3,stage4
,109.0,,,,66.0
,104.0,,,,65.0
,104.0,,,,66.0
,97.0,,,,131.0
,104.0,,,,202.0
,103.0,,,,66.0
,101.0,,,,61.0
,100.0,,,,64.0
,100.0,,,,66.0
,100.0,,,,71.0
,99.0,,,,65.0
,104.0,,,,66.0
,99.0,,,,66.0
,99.0,,,,61.0
,98.0,,,,59.0
,93.0,,,,78.0
,97.0,,,,60.0
,98.0,,,,71.0
,98.0,,,,61.0
,98.0,,,,66.0
,99.0,,,,71.0
,104.0,,,,61.0
,99.0,,,,66.0
,100.0,,,,66.0
,94.0,,,,66.0
,100.0,,,,66.0
,101.0,,,,137.0
,99.0,,,,61.0
,100.0,,,,71.0
,100.0,,,,66.0
,99.0,,,,66.0
,106.0,,,,66.0
,100.0,,,,66.0
,95.0,,,,60.0
,101.0,,,,66.0
,101.0,,,,66.0
,107.0,,,,65.0
,101.0,,,,71.0
,95.0,,,,66.0
,101.0,,,,66.0
,101.0,,,,66.0
,100.0,,,,65.0
,100.0,,,,62.0
,100.0,,,,71.0
,101.0,,,,61.0
,101.0,,,,66.0
,100.0,,,,137.0
,105.0,,,,66.0
,100.0,,,,132.0
,100.0,,,,66.0
,99.0,,,,61.0
,93.0,,,,67.0
,98.0,,,,66.0
,98.0,,,,71.0
,99.0,,,,66.0
,99.0,,,,66.0
,99.0,,,,0.0
,100.0,,,,
,104.0,,,,
,102.0,,,,
,101.0,,,,
,96.0,,,,
,101.0,,,,
,101.0,,,,
,102.0,,,,
,102.0,,,,
,109.0,,,,
,102.0,,,,
,97.0,,,,
,102.0,,,,
,103.0,,,,
,103.0,,,,
,104.0,,,,
,108.0,,,,
,103.0,,,,
,103.0,,,,
,98.0,,,,
,103.0,,,,
,105.0,,,,
,105.0,,,,
,104.0,,,,
,105.0,,,,
,109.0,,,,
,105.0,,,,
,104.0,,,,
,98.0,,,,
,103.0,,,,
,103.0,,,,
,102.0,,,,
,102.0,,,,
,101.0,,,,
,107.0,,,,
,96.0,,,,
,101.0,,,,
,102.0,,,,
,102.0,,,,
,103.0,,,,
,103.0,,,,
,102.0,,,,
,103.0,,,,
,102.0,,,,
,107.0,,,,
,103.0,,,,
,101.0,,,,
,97.0,,,,
,101.0,,,,
,101.0,,,,
,101.0,,,,
,100.0,,,,
,101.0,,,,
,107.0,,,,
,101.0,,,,
,102.0,,,,
,95.0,,,,
,101.0,,,,
,101.0,,,,
,100.0,,,,
,100.0,,,,
,100.0,,,,
,104.0,,,,
,98.0,,,,
,101.0,,,,
,98.0,,,,
,94.0,,,,
,99.0,,,,
,100.0,,,,
,100.0,,,,
,100.0,,,,
,107.0,,,,
,100.0,,,,
,102.0,,,,
,101.0,,,,
,97.0,,,,
,103.0,,,,
,103.0,,,,
,104.0,,,,
,103.0,,,,
,104.0,,,,
,103.0,,,,
,102.0,,,,
,102.0,,,,
,100.0,,,,
,105.0,,,,
,100.0,,,,
,99.0,,,,
,97.0,,,,
,100.0,,,,
,101.0,,,,
,101.0,,,,
,101.0,,,,
,100.0,,,,
,102.0,,,,
,102.0,,,,
,103.0,,,,
,109.0,,,,
,104.0,,,,
,105.0,,,,
,100.0,,,,
,106.0,,,,
,106.0,,,,
,107.0,,,,
,106.0,,,,
,107.0,,,,
,108.0,,,,
,107.0,,,,
,104.0,,,,
,111.0,,,,
,94.0,,,,
,110.0,,,,
,103.0,,,,
,104.0,,,,
,110.0,,,,
,97.0,,,,
,104.0,,,,
,103.0,,,,
,0.0,,,,
