baseline,stage1,stage2,stage3,stage4,recovery,stage5
86.0,105.0,107.0,121.0,140.0,141.0,182.0
92.0,99.0,119.0,120.0,140.0,141.0,179.0
92.0,100.0,112.0,117.0,140.0,140.0,179.0
81.0,103.0,111.0,118.0,140.0,141.0,182.0
88.0,108.0,110.0,118.0,141.0,141.0,179.0
90.0,100.0,111.0,120.0,141.0,140.0,182.0
91.0,104.0,108.0,118.0,140.0,141.0,179.0
82.0,100.0,100.0,117.0,140.0,138.0,182.0
86.0,110.0,114.0,114.0,140.0,140.0,182.0
85.0,103.0,98.0,118.0,140.0,140.0,182.0
81.0,95.0,105.0,120.0,138.0,138.0,182.0
86.0,102.0,108.0,119.0,140.0,138.0,182.0
85.0,98.0,110.0,114.0,132.0,138.0,182.0
86.0,99.0,112.0,132.0,164.0,138.0,182.0
90.0,95.0,115.0,124.0,140.0,138.0,185.0
92.0,92.0,114.0,125.0,130.0,138.0,182.0
98.0,91.0,115.0,126.0,141.0,136.0,182.0
103.0,103.0,115.0,129.0,140.0,140.0,182.0
103.0,100.0,118.0,128.0,141.0,138.0,185.0
94.0,94.0,118.0,130.0,140.0,138.0,185.0
92.0,105.0,112.0,129.0,141.0,140.0,185.0
88.0,100.0,124.0,130.0,140.0,138.0,182.0
95.0,102.0,110.0,128.0,140.0,138.0,182.0
94.0,99.0,120.0,126.0,141.0,138.0,185.0
91.0,96.0,111.0,125.0,140.0,138.0,185.0
91.0,95.0,105.0,125.0,130.0,138.0,185.0
92.0,95.0,107.0,124.0,150.0,138.0,185.0
104.0,98.0,109.0,129.0,140.0,136.0,182.0
101.0,101.0,105.0,109.0,152.0,136.0,182.0
98.0,103.0,103.0,114.0,132.0,136.0,185.0
95.0,103.0,112.0,115.0,141.0,136.0,185.0
98.0,103.0,101.0,115.0,141.0,135.0,185.0
99.0,103.0,113.0,115.0,141.0,135.0,182.0
97.0,102.0,108.0,114.0,143.0,133.0,182.0
93.0,103.0,102.0,117.0,141.0,135.0,185.0
93.0,103.0,109.0,118.0,143.0,133.0,185.0
97.0,105.0,109.0,126.0,141.0,132.0,185.0
96.0,103.0,106.0,111.0,141.0,133.0,182.0
94.0,110.0,105.0,113.0,141.0,133.0,185.0
92.0,98.0,106.0,126.0,141.0,133.0,185.0
96.0,103.0,114.0,119.0,141.0,132.0,185.0
98.0,99.0,100.0,118.0,141.0,132.0,185.0
95.0,103.0,103.0,118.0,140.0,133.0,185.0
94.0,94.0,103.0,118.0,143.0,132.0,185.0
92.0,94.0,107.0,118.0,141.0,133.0,182.0
103.0,97.0,107.0,119.0,152.0,132.0,185.0
95.0,97.0,105.0,117.0,143.0,130.0,185.0
96.0,94.0,104.0,118.0,132.0,132.0,188.0
89.0,96.0,112.0,119.0,154.0,130.0,182.0
94.0,100.0,108.0,119.0,132.0,130.0,185.0
97.0,97.0,102.0,115.0,141.0,129.0,185.0
85.0,106.0,106.0,114.0,143.0,130.0,185.0
91.0,101.0,107.0,114.0,143.0,130.0,182.0
103.0,103.0,110.0,115.0,141.0,130.0,182.0
